id,task,framework,fold,result,mode,version,params,tag,utc,duration,models,seed,info,acc,auc,logloss,models_ensemble_count,predict_duration
openml.org/t/9981,cnae-9,AutoGluon,7,0.201096,aws.docker,0.0.9,,stable,2020-05-14T00:51:26,63.8,11,1,,0.916667,,0.201096,4,1.51905
openml.org/t/168908,christine,AutoGluon,7,0.817255,aws.docker,0.0.9,,stable,2020-05-14T00:51:46,166.3,11,1,,0.732472,0.817255,,8,6.30537
openml.org/t/31,credit-g,AutoGluon,2,0.733333,aws.docker,0.0.9,,stable,2020-05-14T00:51:49,13.6,11,1,,0.75,0.733333,,8,0.582634
openml.org/t/168908,christine,AutoGluon,8,0.820514,aws.docker,0.0.9,,stable,2020-05-14T00:51:51,176.7,11,1,,0.750462,0.820514,,6,3.60162
openml.org/t/31,credit-g,AutoGluon,3,0.77,aws.docker,0.0.9,,stable,2020-05-14T00:52:01,14.1,11,1,,0.74,0.77,,10,0.741969
openml.org/t/9981,cnae-9,AutoGluon,9,0.172528,aws.docker,0.0.9,,stable,2020-05-14T00:51:50,59.7,11,1,,0.953704,,0.172528,3,1.30535
openml.org/t/168908,christine,AutoGluon,9,0.7776,aws.docker,0.0.9,,stable,2020-05-14T00:51:48,158.0,11,1,,0.696858,0.7776,,8,5.98597
openml.org/t/31,credit-g,AutoGluon,4,0.792381,aws.docker,0.0.9,,stable,2020-05-14T00:52:26,15.4,11,1,,0.7,0.792381,,10,0.734288
openml.org/t/9981,cnae-9,AutoGluon,8,0.172544,aws.docker,0.0.9,,stable,2020-05-14T00:52:10,69.0,11,1,,0.944444,,0.172544,3,1.3274
openml.org/t/31,credit-g,AutoGluon,5,0.812857,aws.docker,0.0.9,,stable,2020-05-14T00:52:22,14.6,11,1,,0.81,0.812857,,4,0.185269
openml.org/t/31,credit-g,AutoGluon,6,0.783333,aws.docker,0.0.9,,stable,2020-05-14T00:52:37,14.7,11,1,,0.72,0.783333,,6,0.350725
openml.org/t/31,credit-g,AutoGluon,7,0.826667,aws.docker,0.0.9,,stable,2020-05-14T00:52:49,13.6,11,1,,0.78,0.826667,,8,0.604934
openml.org/t/31,credit-g,AutoGluon,8,0.788095,aws.docker,0.0.9,,stable,2020-05-14T00:53:00,13.2,11,1,,0.75,0.788095,,4,0.1941
openml.org/t/31,credit-g,AutoGluon,9,0.745714,aws.docker,0.0.9,,stable,2020-05-14T00:53:17,14.4,11,1,,0.73,0.745714,,7,0.453374
openml.org/t/168911,jasmine,AutoGluon,0,0.878837,aws.docker,0.0.9,,stable,2020-05-14T00:58:45,15.6,11,1,,0.809365,0.878837,,7,1.14369
openml.org/t/168911,jasmine,AutoGluon,1,0.890157,aws.docker,0.0.9,,stable,2020-05-14T00:58:53,15.0,11,1,,0.802676,0.890157,,5,0.794233
openml.org/t/168911,jasmine,AutoGluon,2,0.921924,aws.docker,0.0.9,,stable,2020-05-14T00:59:16,15.7,11,1,,0.846154,0.921924,,9,1.60867
openml.org/t/168911,jasmine,AutoGluon,3,0.866667,aws.docker,0.0.9,,stable,2020-05-14T00:59:33,15.9,11,1,,0.829431,0.866667,,6,1.00435
openml.org/t/168911,jasmine,AutoGluon,4,0.881267,aws.docker,0.0.9,,stable,2020-05-14T00:59:50,15.6,11,1,,0.791946,0.881267,,4,0.774674
openml.org/t/168911,jasmine,AutoGluon,5,0.875771,aws.docker,0.0.9,,stable,2020-05-14T00:59:58,15.9,11,1,,0.775168,0.875771,,7,1.26327
openml.org/t/168911,jasmine,AutoGluon,6,0.885501,aws.docker,0.0.9,,stable,2020-05-14T01:00:14,15.7,11,1,,0.822148,0.885501,,4,0.679817
openml.org/t/168911,jasmine,AutoGluon,7,0.85843,aws.docker,0.0.9,,stable,2020-05-14T01:00:24,14.9,11,1,,0.788591,0.85843,,5,0.858667
openml.org/t/168911,jasmine,AutoGluon,8,0.893856,aws.docker,0.0.9,,stable,2020-05-14T01:00:50,15.3,11,1,,0.832215,0.893856,,5,0.998848
openml.org/t/168911,jasmine,AutoGluon,9,0.882122,aws.docker,0.0.9,,stable,2020-05-14T01:01:01,16.2,11,1,,0.808725,0.882122,,6,1.03147
openml.org/t/168910,fabert,AutoGluon,0,0.720454,aws.docker,0.0.9,,stable,2020-05-14T01:01:15,290.7,11,1,,0.729369,,0.720454,6,2.932
openml.org/t/168910,fabert,AutoGluon,5,0.710939,aws.docker,0.0.9,,stable,2020-05-14T01:01:32,231.7,11,1,,0.740291,,0.710939,5,2.49693
openml.org/t/168910,fabert,AutoGluon,4,0.737613,aws.docker,0.0.9,,stable,2020-05-14T01:02:04,278.4,11,1,,0.73665,,0.737613,6,3.03865
openml.org/t/168910,fabert,AutoGluon,1,0.724361,aws.docker,0.0.9,,stable,2020-05-14T01:01:56,312.7,11,1,,0.726942,,0.724361,6,2.81053
openml.org/t/168910,fabert,AutoGluon,2,0.71332,aws.docker,0.0.9,,stable,2020-05-14T01:03:01,320.2,11,1,,0.735437,,0.71332,6,2.75496
openml.org/t/3917,kc1,AutoGluon,0,0.844186,aws.docker,0.0.9,,stable,2020-05-14T01:02:38,9.6,11,1,,0.890995,0.844186,,9,0.55292
openml.org/t/168910,fabert,AutoGluon,7,0.74876,aws.docker,0.0.9,,stable,2020-05-14T01:03:00,289.1,11,1,,0.713244,,0.74876,6,2.69957
openml.org/t/3917,kc1,AutoGluon,1,0.785265,aws.docker,0.0.9,,stable,2020-05-14T01:02:53,9.2,11,1,,0.85782,0.785265,,5,0.482543
openml.org/t/168910,fabert,AutoGluon,8,0.788522,aws.docker,0.0.9,,stable,2020-05-14T01:03:23,295.9,11,1,,0.710814,,0.788522,7,3.12755
openml.org/t/168910,fabert,AutoGluon,6,0.741784,aws.docker,0.0.9,,stable,2020-05-14T01:03:06,288.1,11,1,,0.71966,,0.741784,6,2.49957
openml.org/t/3917,kc1,AutoGluon,4,0.764385,aws.docker,0.0.9,,stable,2020-05-14T01:03:37,9.6,11,1,,0.853081,0.764385,,9,0.767356
openml.org/t/3917,kc1,AutoGluon,2,0.858502,aws.docker,0.0.9,,stable,2020-05-14T01:03:09,9.5,11,1,,0.838863,0.858502,,4,0.160435
openml.org/t/168910,fabert,AutoGluon,9,0.753991,aws.docker,0.0.9,,stable,2020-05-14T01:03:39,295.4,11,1,,0.72175,,0.753991,6,2.65467
openml.org/t/3917,kc1,AutoGluon,3,0.837845,aws.docker,0.0.9,,stable,2020-05-14T01:03:34,9.2,11,1,,0.876777,0.837845,,9,0.536257
openml.org/t/168910,fabert,AutoGluon,3,0.738458,aws.docker,0.0.9,,stable,2020-05-14T01:03:24,369.2,11,1,,0.728155,,0.738458,7,3.06872
openml.org/t/3917,kc1,AutoGluon,5,0.805414,aws.docker,0.0.9,,stable,2020-05-14T01:04:16,9.4,11,1,,0.853081,0.805414,,6,0.384728
