"model_id","auc","logloss","aucpr","mean_per_class_error","rmse","mse","training_time_ms","predict_time_per_row_ms"
"GBM_grid__1_AutoML_20200520_134408_model_2",0.605884028492208,0.681025841369758,0.489081449804044,0.455380129039953,0.491296963368262,0.241372706214875,969,6.4E-4
"GBM_grid__1_AutoML_20200520_134408_model_26",0.605341210079415,0.682740819021974,0.491288879171978,0.454997849431453,0.491697392659816,0.241766325948461,696,6.58E-4
"GBM_grid__1_AutoML_20200520_134408_model_49",0.604943128311802,0.688185007041118,0.489160246910272,0.452359204081243,0.493713325424783,0.243752847701997,1229,6.05E-4
"GBM_2_AutoML_20200520_134408",0.604802507386849,0.683941968419897,0.489397562652424,0.468662968413114,0.491923861903803,0.241989085910352,618,6.05E-4
"XGBoost_2_AutoML_20200520_134408",0.604622013996448,0.69151034630631,0.496236359656672,0.463288827014028,0.495125115341917,0.245148879842346,2176,5.17E-4
"GBM_grid__1_AutoML_20200520_134408_model_13",0.604593173676968,0.6722761041565,0.491550980554708,0.463280409343768,0.488333095946792,0.238469212596979,1010,6.36E-4
"GBM_1_AutoML_20200520_134408",0.60452850796854,0.677750741791183,0.488254508471776,0.45796302282656,0.489765375825944,0.239870123357928,873,5.89E-4
"GBM_grid__1_AutoML_20200520_134408_model_29",0.603418346253393,0.687661065771478,0.488824195286543,0.464366637625269,0.493512335414062,0.243554425205841,1087,6.49E-4
"DRF_1_AutoML_20200520_134408",0.603399175159729,0.704504907006275,0.491835985342996,0.46552425081984,0.494655297946993,0.244683863787028,5391,8.24E-4
"GBM_3_AutoML_20200520_134408",0.603166580973581,0.689879884926405,0.485634794806947,0.463380001643833,0.494044583725071,0.244080050708079,1610,6.53E-4
"GBM_grid__1_AutoML_20200520_134408_model_5",0.603106449691371,0.704046836083726,0.490446361696626,0.464155138216188,0.49884311076729,0.248844449159987,977,7.12E-4
"GBM_grid__1_AutoML_20200520_134408_model_14",0.60310548494631,0.669181517543017,0.485365579789018,0.465493343308018,0.486907549778277,0.237078962031085,287,6.1E-4
