"model_id","auc","logloss","aucpr","mean_per_class_error","rmse","mse","training_time_ms","predict_time_per_row_ms"
"XGBoost_grid__1_AutoML_20200520_161033_model_7",0.621498979366917,0.657553284997061,0.506325908144077,0.442737031777015,0.48209426442406,0.232414879790575,912,4.73E-4
"XGBoost_grid__1_AutoML_20200520_161033_model_8",0.620373052821571,0.665371462809062,0.511510244901178,0.453146841692358,0.48524814587542,0.235465763075533,2515,5.26E-4
"DeepLearning_grid__1_AutoML_20200520_161033_model_4",0.618596444927555,0.671892246725816,0.505242565333489,0.441105370814397,0.488346803391953,0.238482600383139,29400,0.005039
"GBM_grid__1_AutoML_20200520_161033_model_11",0.615895197743132,0.661251198726374,0.499873289504125,0.452397728765488,0.483658432968856,0.23392547978189,659,6.69E-4
"XRT_1_AutoML_20200520_161033",0.615174487972674,0.659751364781784,0.502332339980259,0.448070676695629,0.483008598997595,0.233297306705619,4335,8.49E-4
"DeepLearning_grid__3_AutoML_20200520_161033_model_10",0.614915634968878,0.660704989748578,0.497805839145675,0.442796911503816,0.483937560916044,0.23419556286537,25880,9.21E-4
"DeepLearning_grid__1_AutoML_20200520_161033_model_10",0.614792309981776,0.656391576251251,0.499781812208041,0.440426299374435,0.481808220255884,0.232139161106143,25500,8.51E-4
"DeepLearning_grid__2_AutoML_20200520_161033_model_10",0.614607129531372,0.658115720795476,0.494249232516099,0.454828211496824,0.482731643046601,0.233029839198471,25807,8.78E-4
"XGBoost_grid__1_AutoML_20200520_161033_model_9",0.613578516563232,0.676945792320916,0.502845451895038,0.453901054578505,0.489828310813269,0.23993177407418,2859,4.73E-4
"DeepLearning_grid__3_AutoML_20200520_161033_model_8",0.613449041015288,0.664391731162091,0.499698176133547,0.442918612890513,0.485875167793811,0.236074678678664,26993,0.003591
